,Event,Dates,Location,Description
2328,Reindeer Road by World of Illumination,2022-12-04,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2329,Deana Lawson Exhibit,2022-12-04,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2330,The Veranda Jewel Box,2022-12-04,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2331,World of Illumination,2022-12-04,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2332,Stranger Things: The Experience,2022-12-04,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2333,Waking Wonderland: An Immersive Experience,2022-12-04,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2334,Cookies with Santa,2022-12-04,Zoo Atlanta,EVENT DATES: December 3 & 4 Be here when Santa makes his first stop –…
2335,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-04,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2336,Rodgers & Hammerstein’s Cinderella,2022-12-04,The Legacy Theatre,The timeless enchantment of the magical fairy tale is reborn with the Rodgers & Hammerstein…
2337,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-04,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2338,“In Hope for a Better Future” Art Exhibition,2022-12-04,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2339,Fireside Roasting & Toasting Pods on the Yard,2022-12-04,Ponce City Market,Get warm and cozy with your nearest and dearest outside on The Yard this holiday…
2340,Igloos on The Roof,2022-12-04,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2341,Rudolph the Red-Nosed Reindeer,2022-12-04,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2342,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-04,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2343,Celebration at the Station,2022-12-04,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2344,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-04,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2345,Winter Wonderland at Fernbank,2022-12-04,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2346,Misfit DIY Wrapping Co.,2022-12-04,Ponce City Market,"Come one, come all and stop by Misfit DIY Wrapping Co. to jazz up gifts…"
2347,HOLIDAY ORNAMENT WORKSHOP,2022-12-04,Marietta/Cobb Museum of Art,"Join us for a fun afternoon of playing with clay! We’ll use cookie cutters, texture…"
2348,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-04,Chick-fil-A College Football Hall of Fame,
2349,Mingle & Jingle Christmas Bar,2022-12-04,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2350,Elephant Wild Encounter,2022-12-04,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2351,The Rink at Park Tavern,2022-12-04,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2352,Blue October Live In Concert,2022-12-04,Atlanta Symphony Hall,Emporium Presents and Delta Atlanta Symphony Hall LIVE welcome Blue October to Atlanta Symphony Hall…
2353,DaBaby – Live Show Killa Tour,2022-12-04,Coca-Cola Roxy,Hip hop favorite DaBaby is coming to Atlanta for his brand new Live Show Killa…
2354,Gift Wrapping Christmas Festival,2022-12-04,Chateau Elan Winery & Resort,Support 1000 local kids and families in need by attending Gift Wrapping Festival and Contest:…
2355,Igloos on the Roof,2022-12-04,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2356,Patrick Watson Live In Concert,2022-12-04,Terminal West,"Canadian singer-songwriter Patrick Watson will perform live at Terminal West on Sun, Dec 4 at…"
2357,The Colors of Peace Exhibit,2022-12-04,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2358,A Christmas Carol,2022-12-04,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2359,Skate the Sky,2022-12-04,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2360,Cirque Du Soleil – Kurios,2022-12-04,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2361,Stephen Burks Shelter in Place,2022-12-04,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2362,PAW Patrol: Adventure Play,2022-12-04,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2363,Holiday Tree Market in the Courtyard,2022-12-04,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2364,Sunday Spiritual Festival,2022-12-04,Krishna Life Temple and Monastery,"Come and experience the association of practicing monks. Meditate, Dance, hear words of wisdom and…"
2365,Claude Monet Immersive Exhibit,2022-12-04,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2366,Shine Light Show at Coolray Field,2022-12-04,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2367,Sons of Serendip,2022-12-04,Spivey Hall,"MICAH CHRISTIAN, lead vocals CORDARO RODRIGUEZ, piano and guitar KENDALL RAMSEUR, cello and vocals MASON…"
2368,Atlanta Rhythm Section Live In Concert,2022-12-04,Buckhead Theatre,"Southern rock band Atlanta Rhythm Section will perform live at Buckhead Theatre on Sun, Dec…"
2369,Midtown Atlanta Food and Cocktail Tour,2022-12-04,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2370,Atlanta Falcons vs. Pittsburgh Steelers – Dec. 4,2022-12-04,Mercedes-Benz Stadium,Come watch the Atlanta Falcons take on the Pittsburgh Steelers in an exciting NFL match-up…
2371,Holiday Lights at Brook Run Park,2022-12-04,Brook Run Park,
2372,Atlanta R&B Music Experience,2022-12-04,State Farm Arena,It was announced today that ‘Atlanta R&B Music Experience: Holiday Edition’ will come to the…
2373,Holiday Catering with Grecian Gyro,2022-12-04,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2374,Giant Panda Wild Encounter,2022-12-04,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2375,Harry Potter: The Exhibition,2022-12-04,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2376,"Garden Lights, Holiday Nights",2022-12-04,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2377,FIFA World Cup 2022™ Watch Parties,2022-12-04,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2378,WildWoods AGLOW,2022-12-04,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2379,Skate the Station,2022-12-04,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2380,Tambor Holiday Party,2022-12-04,Paradise Atlanta,
2381,Spruill Gallery Holiday Artists Market,2022-12-04,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2382,25th Annual Gala Holiday Concert at the Rialto,2022-12-04,Rialto Center for the Arts at Georgia State University,Get in the Holiday Spirit! This highly anticipated concert has been an Atlanta tradition for…
2383,Holiday in the Park,2022-12-04,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2384,The Veranda Jewel Box,2022-12-05,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2385,Holiday Tree Market in the Courtyard,2022-12-05,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2386,The Colors of Peace Exhibit,2022-12-05,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2387,Yu-Gi-Oh! Mondays,2022-12-05,Caffeinated Gamers,Official (but friendly) Event! We have Yu-Gi-Oh! tournaments every Monday. This event is good for…
2388,"Garden Lights, Holiday Nights",2022-12-05,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2389,Holiday Lights at Brook Run Park,2022-12-05,Brook Run Park,
2390,Atlanta Hawks vs. Oklahoma City Thunder,2022-12-05,State Farm Arena,Come cheer on the Hawks as they take on the Oklahoma City Thunder on December…
2391,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-05,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2392,Igloos on the Roof,2022-12-05,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2393,Spruill Gallery Holiday Artists Market,2022-12-05,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2394,Giant Panda Wild Encounter,2022-12-05,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2395,Holiday Catering with Grecian Gyro,2022-12-05,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2396,Elephant Wild Encounter,2022-12-05,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2397,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-05,Chick-fil-A College Football Hall of Fame,
2398,Aldabra Tortoise Wild Encounter,2022-12-05,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
2399,Skate the Station,2022-12-05,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2400,Rudolph the Red-Nosed Reindeer,2022-12-05,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2401,PAW Patrol: Adventure Play,2022-12-05,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2402,Shine Light Show at Coolray Field,2022-12-05,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2403,Harry Potter: The Exhibition,2022-12-05,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2404,World of Illumination,2022-12-05,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2405,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-05,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2406,Castleberry Farmers Market,2022-12-05,Castleberry Farmers Market,"Local unique weekday farmers market that features an array of farmers, bakers, artisans and other…"
2407,FIFA World Cup 2022™ Watch Parties,2022-12-05,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2408,Stranger Things: The Experience,2022-12-05,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2409,Holiday in the Park,2022-12-05,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2410,Winter Wonderland at Fernbank,2022-12-05,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2411,Reindeer Road by World of Illumination,2022-12-05,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2412,Celebration at the Station,2022-12-05,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2413,WildWoods AGLOW,2022-12-05,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2414,Waking Wonderland: An Immersive Experience,2022-12-05,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
