,Event,Dates,Location,Description
2634,The Veranda Jewel Box,2022-12-05,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2635,Igloos on the Roof,2022-12-05,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2636,PAW Patrol: Adventure Play,2022-12-05,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2637,Skate the Station,2022-12-05,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2638,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-05,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2639,Skate the Sky,2022-12-05,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2640,Rudolph the Red-Nosed Reindeer,2022-12-05,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2641,Stranger Things: The Experience,2022-12-05,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2642,Celebration at the Station,2022-12-05,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2643,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-05,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2644,Atlanta Hawks vs. Oklahoma City Thunder,2022-12-05,State Farm Arena,Come cheer on the Hawks as they take on the Oklahoma City Thunder on December…
2645,“In Hope for a Better Future” Art Exhibition,2022-12-05,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2646,The Colors of Peace Exhibit,2022-12-05,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2647,"Garden Lights, Holiday Nights",2022-12-05,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2648,Spruill Gallery Holiday Artists Market,2022-12-05,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2649,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-05,Chick-fil-A College Football Hall of Fame,
2650,Winter Wonderland at Fernbank,2022-12-05,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2651,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-05,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2652,Shine Light Show at Coolray Field,2022-12-06,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2653,Holiday Catering with Grecian Gyro,2022-12-06,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2654,Skate the Station,2022-12-06,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2655,$1 Happy Hour Oysters,2022-12-06,Biggerstaff Brewing Company,
2656,Rudolph the Red-Nosed Reindeer,2022-12-06,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2657,PAW Patrol: Adventure Play,2022-12-06,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2658,Deana Lawson Exhibit,2022-12-06,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2659,Harry Potter Trivia Series,2022-12-06,Best End Brewery,Each month we quiz fans over one book from the Harry Potter series. Try our…
2660,Broadway in Atlanta: Anastasia,2022-12-06,Fox Theatre,"Inspired by the beloved films, the romantic and adventure-filled new musical ANASTASIA is on a…"
2661,Stephen Burks Shelter in Place,2022-12-06,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2662,Foals,2022-12-06,The Eastern,UK indie outfit Foals is coming to Atlanta for their brand new Life Is Yours…
2663,Celebration at the Station,2022-12-06,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2664,Waking Wonderland: An Immersive Experience,2022-12-06,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2665,Claude Monet Immersive Exhibit,2022-12-06,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2666,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-06,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2667,WildWoods AGLOW,2022-12-06,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2668,Winter Wonderland at Fernbank,2022-12-06,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2669,Igloos on The Roof,2022-12-06,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2670,The Veranda Jewel Box,2022-12-06,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2671,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-06,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2672,Cattle Shed Presents: Exploring the Art of Pairing,2022-12-06,Cattle Shed Wine & Steak Bar,WINE CLUB DINNER AT CATTLE SHED WINE & STEAK BAR Join us for a fantastic…
2673,Mingle & Jingle Christmas Bar,2022-12-06,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2674,Holiday Tree Market in the Courtyard,2022-12-06,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2675,Reindeer Road by World of Illumination,2022-12-06,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2676,Igloos on the Roof,2022-12-06,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2677,Holiday in the Park,2022-12-06,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2678,World of Illumination,2022-12-06,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2679,"Garden Lights, Holiday Nights",2022-12-06,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2680,Holiday Lights at Brook Run Park,2022-12-06,Brook Run Park,
2681,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-06,Chick-fil-A College Football Hall of Fame,
2682,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-06,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2683,FIFA World Cup 2022™ Watch Parties,2022-12-06,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2684,The Colors of Peace Exhibit,2022-12-06,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2685,Harry Potter: The Exhibition,2022-12-06,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2686,Spruill Gallery Holiday Artists Market,2022-12-06,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2687,Skate the Sky,2022-12-06,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2688,“In Hope for a Better Future” Art Exhibition,2022-12-06,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2689,The Rink at Park Tavern,2022-12-06,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2690,Stranger Things: The Experience,2022-12-06,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2691,Winter Wonderland at Fernbank,2022-12-07,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2692,Jason Bonham’s Led Zeppelin Evening,2022-12-07,Coca-Cola Roxy,"Celebrating the life and music of Jason’s father, the legendary Led Zeppelin drummer John Bonham,…"
2693,Reindeer Road by World of Illumination,2022-12-07,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2694,Igloos on the Roof,2022-12-07,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2695,Claude Monet Immersive Exhibit,2022-12-07,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2696,Dungeons and Dragons One Shot Adventure Wednesdays,2022-12-07,Caffeinated Gamers,"Whether you’re an experienced adventurer or have never played D&D, this is the event for…"
2697,Toddler Storytime | Winter Wonderland,2022-12-07,Atlanta History Center,Could that be snow? Make sure to bundle up and get ready to learn about…
2698,Celebration at the Station,2022-12-07,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2699,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-07,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2700,"Garden Lights, Holiday Nights",2022-12-07,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2701,Skate the Station,2022-12-07,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2702,Biggerstaff Brewing Company Trivia,2022-12-07,Biggerstaff Brewing Company,"Awesome Trivia with 1st, 2nd and 3rd place prizes with Biggerstaff Brewing Company!"
2703,Wednesday Night Laughs,2022-12-07,The Original Hot Dog Factory,Free Weekly Comedy Show 7P – 9P Hosted by More Than Cultr’s Own Kamal The…
2704,Holiday Lights at Brook Run Park,2022-12-07,Brook Run Park,
2705,World of Illumination,2022-12-07,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2706,“In Hope for a Better Future” Art Exhibition,2022-12-07,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2707,As They Appear to Be: Constructing Images through,2022-12-07,High Museum of Art,"Offered in tandem with Deana Lawson, this online photography class will prompt participants to construct…"
2708,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-07,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2709,A Christmas Carol,2022-12-07,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2710,The Rink at Park Tavern,2022-12-07,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2711,FIFA World Cup 2022™ Watch Parties,2022-12-07,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2712,The Colors of Peace Exhibit,2022-12-07,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2713,Skate the Sky,2022-12-07,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2714,Holiday Tree Market in the Courtyard,2022-12-07,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2715,Harry Potter: The Exhibition,2022-12-07,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2716,Holiday in the Park,2022-12-07,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2717,WildWoods AGLOW,2022-12-07,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2718,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-07,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2719,Cirque Du Soleil – Kurios,2022-12-07,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
